interval_label,anchor_strategy,model_id,formula,n_obs,r_sq,marginal_r2,aic,converged,interval_hours
510min,within_day,M48,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),870,0.0177274911097489,0.0258144194998696,2893.48030126535,TRUE,8.5
540min,within_day,M5,butterfly_difference_cbrt ~ total_butterflies_t_lag + max_gust + temperature_avg,803,0.0650222596137181,0.0511567885241259,2110.94040409,TRUE,9
570min,within_day,M45,butterfly_difference_cbrt ~ s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag),759,0.0109531806958308,0.0149505289645653,2147.46163743496,TRUE,9.5
5day,first_to_first,B21,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + temp_at_max_count_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,114,0.453465860824939,0.506981810615671,735.686736851135,TRUE,120
5day,last_to_last,B24,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(wind_max_gust_t_1),114,0.469014781843291,0.487226066192709,716.550539909096,TRUE,120
5day,max_to_max,B24,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(wind_max_gust_t_1),114,0.475572710931592,0.532974646398341,747.747338318452,TRUE,120
5day,max_to_sunset,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),114,0.592827370631291,0.64773523152146,715.98596067899,TRUE,120
5day,mid_to_mid,BT6,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_max_t_1, wind_max_gust_t_1)",114,0.516738165552617,0.550214609012224,671.056128918767,TRUE,120
600min,within_day,M31,butterfly_difference_cbrt ~ temperature_avg + butterflies_direct_sun_t_lag,737,0.0022055841994183,0.00360122831795928,1865.79762280167,TRUE,10
60min,within_day,M52,"butterfly_difference_cbrt ~ s(temperature_avg) + s(time_within_day_t) + ti(max_gust, butterflies_direct_sun_t_lag)",1702,0.0997043871557597,0.125157987354001,6570.6432832615,TRUE,1
630min,within_day,M54,"butterfly_difference_cbrt ~ s(total_butterflies_t_lag) + ti(max_gust, temperature_avg)",695,0.0734995676352619,-0.0408422678755376,959.750548735161,TRUE,10.5
6day,first_to_first,B20,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_max_t_1 + temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,108,0.511915512452687,0.553197989813941,690.002522551285,TRUE,144
6day,last_to_last,B31,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1),108,0.545390874436221,0.565688361331058,687.69691180141206,TRUE,144
6day,max_to_max,B13,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + wind_max_gust_t_1 + temp_min_t_1,108,0.521918121206244,0.586278047366146,715.615183266004,TRUE,144
6day,max_to_sunset,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),108,0.655018510521478,0.675919432335804,672.536541123994,TRUE,144
6day,mid_to_mid,BT6,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_max_t_1, wind_max_gust_t_1)",108,0.643066429771299,0.693912963648275,621.092573949765,TRUE,144
7day,first_to_first,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),102,0.589297687957271,0.617752622581789,624.045344351443,TRUE,168
7day,last_to_last,B24,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(wind_max_gust_t_1),102,0.575745032789787,0.59153141541651,652.413810219776,TRUE,168
7day,max_to_max,B31,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1),102,0.585302102826348,0.664459712812144,669.853748101027,TRUE,168
7day,max_to_sunset,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),102,0.654238614224164,0.678704564886461,636.692787160281,TRUE,168
7day,mid_to_mid,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),102,0.643972422390423,0.697457235531743,586.743788121153,TRUE,168
8day,first_to_first,B18,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + temp_min_t_1 + wind_max_gust_t_1 + sum_butterflies_direct_sun_t_1,96,0.50093841921738,0.522836709512409,612.112707724394,TRUE,192
8day,last_to_last,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),96,0.534152466246733,0.550616325286455,597.758253703922,TRUE,192
8day,max_to_max,B24,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(wind_max_gust_t_1),96,0.535549860063915,0.549075236324541,612.833771279277,TRUE,192
8day,max_to_sunset,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),96,0.644954126885342,0.66198704890372,592.168642627732,TRUE,192
8day,mid_to_mid,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),96,0.581919885180876,0.602225798244899,568.882734556903,TRUE,192
90min,within_day,M52,"butterfly_difference_cbrt ~ s(temperature_avg) + s(time_within_day_t) + ti(max_gust, butterflies_direct_sun_t_lag)",1638,0.141103235497394,0.153198297800679,6376.07990207341,TRUE,1.5
9day,first_to_first,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),90,0.517741981623947,0.537475876988501,554.769154938161,TRUE,216
9day,last_to_last,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",90,0.625561591617394,0.65882192586468,542.815976914982,TRUE,216
9day,max_to_max,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),90,0.579370221404528,0.602297942346178,564.269514738885,TRUE,216
9day,max_to_sunset,BT2,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",90,0.736189668536887,0.764437844386859,536.114414563533,TRUE,216
9day,mid_to_mid,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",90,0.705942325547245,0.738043906115115,520.975379221845,TRUE,216
