deployment_id,image_filename,total_butterflies,butterflies_direct_sun,timestamp,date,day_id,complete_day,AR_start
SC10,SC10_20240108073604.JPG,69,0,2024-01-08T07:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108080604.JPG,61,0,2024-01-08T08:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108083604.JPG,68,0,2024-01-08T08:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108090604.JPG,28,0,2024-01-08T09:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108093604.JPG,49,7,2024-01-08T09:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108100604.JPG,46,46,2024-01-08T10:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108103604.JPG,46,46,2024-01-08T10:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108110604.JPG,36,36,2024-01-08T11:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108113604.JPG,20,20,2024-01-08T11:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108120604.JPG,47,0,2024-01-08T12:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108123604.JPG,9,9,2024-01-08T12:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108130604.JPG,66,2,2024-01-08T13:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108133604.JPG,66,4,2024-01-08T13:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108140604.JPG,80,3,2024-01-08T14:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108143604.JPG,108,3,2024-01-08T14:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108150604.JPG,130,0,2024-01-08T15:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108153604.JPG,91,0,2024-01-08T15:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108160604.JPG,127,0,2024-01-08T16:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108163604.JPG,127,0,2024-01-08T16:36:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240108170604.JPG,110,0,2024-01-08T17:06:04Z,2024-01-08,SC10-20240108,TRUE,FALSE
SC10,SC10_20240109070604.JPG,109,0,2024-01-09T07:06:04Z,2024-01-09,SC10-20240109,TRUE,TRUE
SC10,SC10_20240109073604.JPG,109,0,2024-01-09T07:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109080604.JPG,109,0,2024-01-09T08:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109083604.JPG,108,0,2024-01-09T08:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109090604.JPG,65,1,2024-01-09T09:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109093604.JPG,88,4,2024-01-09T09:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109100604.JPG,64,64,2024-01-09T10:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109103604.JPG,77,77,2024-01-09T10:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109110604.JPG,56,56,2024-01-09T11:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109113604.JPG,65,65,2024-01-09T11:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109120604.JPG,55,55,2024-01-09T12:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109123604.JPG,27,27,2024-01-09T12:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109130604.JPG,21,17,2024-01-09T13:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109133604.JPG,86,45,2024-01-09T13:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109140604.JPG,110,0,2024-01-09T14:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109143604.JPG,128,5,2024-01-09T14:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109150604.JPG,145,0,2024-01-09T15:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109153604.JPG,113,0,2024-01-09T15:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109160604.JPG,141,0,2024-01-09T16:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109163604.JPG,148,0,2024-01-09T16:36:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240109170604.JPG,132,0,2024-01-09T17:06:04Z,2024-01-09,SC10-20240109,TRUE,FALSE
SC10,SC10_20240110070604.JPG,120,0,2024-01-10T07:06:04Z,2024-01-10,SC10-20240110,TRUE,TRUE
SC10,SC10_20240110073604.JPG,128,0,2024-01-10T07:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110080604.JPG,104,0,2024-01-10T08:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110083604.JPG,282,11,2024-01-10T08:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110090604.JPG,69,6,2024-01-10T09:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110093604.JPG,180,40,2024-01-10T09:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110100604.JPG,94,94,2024-01-10T10:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110103604.JPG,75,75,2024-01-10T10:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110110604.JPG,47,47,2024-01-10T11:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110113604.JPG,44,44,2024-01-10T11:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110120604.JPG,56,54,2024-01-10T12:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110123604.JPG,48,4,2024-01-10T12:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110130604.JPG,68,10,2024-01-10T13:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110133604.JPG,88,0,2024-01-10T13:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110140604.JPG,88,0,2024-01-10T14:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110143604.JPG,99,0,2024-01-10T14:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110150604.JPG,100,0,2024-01-10T15:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110153604.JPG,93,0,2024-01-10T15:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110160604.JPG,129,0,2024-01-10T16:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110163604.JPG,117,0,2024-01-10T16:36:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240110170604.JPG,89,0,2024-01-10T17:06:04Z,2024-01-10,SC10-20240110,TRUE,FALSE
SC10,SC10_20240111070604.JPG,109,0,2024-01-11T07:06:04Z,2024-01-11,SC10-20240111,TRUE,TRUE
SC10,SC10_20240111073604.JPG,101,0,2024-01-11T07:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111080604.JPG,86,0,2024-01-11T08:06:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111083604.JPG,189,0,2024-01-11T08:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111090604.JPG,67,15,2024-01-11T09:06:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111093604.JPG,59,8,2024-01-11T09:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111100604.JPG,94,94,2024-01-11T10:06:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111103604.JPG,93,83,2024-01-11T10:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111110604.JPG,104,93,2024-01-11T11:06:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111113604.JPG,68,46,2024-01-11T11:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111120604.JPG,61,9,2024-01-11T12:06:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111123604.JPG,61,28,2024-01-11T12:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111130604.JPG,85,25,2024-01-11T13:06:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111133604.JPG,88,55,2024-01-11T13:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111140604.JPG,109,0,2024-01-11T14:06:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111143604.JPG,306,0,2024-01-11T14:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111150604.JPG,220,0,2024-01-11T15:06:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111153604.JPG,202,0,2024-01-11T15:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111160604.JPG,211,0,2024-01-11T16:06:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
SC10,SC10_20240111163604.JPG,135,0,2024-01-11T16:36:04Z,2024-01-11,SC10-20240111,TRUE,FALSE
